Country,Country_Code,Region,Year,Remittance_inflow_US_Dollar,GDP_current_prices_US_Dollar,Remittance_Percent_of_GDP,GDP_current_prices_PPP_international_dollars,Inflation_average_consumer_prices_Index_Unit,Human_Development_Index_HDI_Index_Unit,Households_NPISHs_Final_consumption_expenditure_Annual_Percent_growth,Multidimensional_poverty_headcount_ratio_WorldBank_Percent_of_population,Poverty_headcount_ratio_at_societal_poverty_line_Percent_of_population,Poverty_headcount_ratio_at_2.15USD_a_day_2017_PPP_Percent_of_population,Households_and_NPISHs_Final_consumption_expenditure_current_USD,Households_and_NPISHs_Final_consumption_expenditure_per_capita_constant_2015_USD,Literacy_rate_youth_total_Percent_of_people_ages_15_to_24
India,IND,Emerging and Developing Asia,2000,1.E+10,4.68396E+11,2.751,2.E+12,46.94,0.49,3.439589377,NaN,NaN,NaN,2.9855E+11,488.0739863,NaN
India,IND,Emerging and Developing Asia,2001,1.E+10,4.8544E+11,2.940,2.E+12,49.025,0.495,5.952897392,NaN,NaN,NaN,3.11395E+11,507.8605929,76.42569733
India,IND,Emerging and Developing Asia,2002,2.E+10,5.14938E+11,3.056,2.E+12,51.475,0.501,2.870478559,NaN,NaN,NaN,3.24564E+11,513.2380789,NaN
India,IND,Emerging and Developing Asia,2003,2.E+10,6.07701E+11,3.456,3.E+12,53.583,0.514,5.92532039,NaN,NaN,NaN,3.73758E+11,534.3554605,NaN
India,IND,Emerging and Developing Asia,2004,2.E+10,7.09152E+11,2.644,3.E+12,55.725,0.523,5.171125598,NaN,48.2,40.6,4.13799E+11,552.6648557,NaN
India,IND,Emerging and Developing Asia,2005,2.E+10,8.20385E+11,2.697,3.E+12,57.775,0.532,7.455695388,NaN,NaN,NaN,4.70725E+11,584.4194254,NaN
India,IND,Emerging and Developing Asia,2006,3.E+10,9.4026E+11,3.013,4.E+12,61.667,0.541,4.935775514,NaN,NaN,NaN,5.27579E+11,603.9878941,81.13085938
India,IND,Emerging and Developing Asia,2007,4.E+10,1.21674E+12,3.059,4.E+12,65.317,0.55,7.281564445,NaN,NaN,NaN,6.78458E+11,638.5353724,NaN
India,IND,Emerging and Developing Asia,2008,5.E+10,1.1989E+12,4.169,4.E+12,71.333,0.557,4.452197356,NaN,NaN,NaN,6.79496E+11,657.5445361,NaN
India,IND,Emerging and Developing Asia,2009,5.E+10,1.34189E+12,3.667,5.E+12,78.9,0.562,5.000777254,NaN,44.7,33.5,7.50919E+11,680.8881947,NaN
India,IND,Emerging and Developing Asia,2010,5.E+10,1.67562E+12,3.192,5.E+12,86.292,0.572,6.720408492,NaN,NaN,NaN,9.16978E+11,716.7050436,NaN
India,IND,Emerging and Developing Asia,2011,6.E+10,1.82305E+12,3.428,6.E+12,93.292,0.586,7.421985869,NaN,39.9,22.9,1.02469E+12,759.4869843,86.1448822
